Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
1234,Aashapura Crown City ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Carpet Area,550.0,10000.0,1.0,1,1,55.0
1235,Seasons Orchid ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,700.0,9571.0,6.0,2,2,67.0
1236,Sai Satyam Homes ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,615.0,8780.0,14.0,2,2,54.0
1237,Sai Satyam Homes ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,415.0,9397.0,15.0,1,1,39.0
1238,Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 50 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,750.0,11333.0,4.0,1,1,85.0
1239,Unnamed Property,Near By Croma Sector 15 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1943.875,14508.0,8.0,3,3,325.0
1240,Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 36 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1070.0,17757.0,18.0,2,2,190.0
1241,Paradise Sai World City ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1400.0,10357.0,15.0,2,2,145.0
1242,Unnamed Property,501 Chikhal Dongari Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,985.0,4011.0,5.0,2,2,39.5
1243,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1150.0,43437.375,17.0,3,3,399.5
1244,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,941.0,43437.375,25.5,2,2,399.5
1245,Siddhivinayak Royal Meadows ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Built Up Area,1080.0,6944.0,4.0,2,2,75.0
1246,Siddhivinayak Royal Meadows ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,800.0,6873.0,5.0,1,2,55.0
1247,Unnamed Property,Just Opposite Of Mansarovar Railway Station Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,7067.0,3.0,1,1,47.0
1248,Virad Vinayak Mayureshwar Dham ,Adharwadi Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Carpet Area,435.0,7356.0,3.0,1,1,32.0
1249,Unnamed Property,Nr Mnr School Sector 8 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1005.0,6467.0,6.0,2,2,65.0
1250,Kailash Homes ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,425.0,9647.0,2.0,1,1,41.0
1251,Omkar Alta Monte ,Omkar Alta Monte Malad East Mumbai,Monte Malad,1 to 5 Year,Ready To Move,Built Up Area,1380.0,17101.0,4.0,2,2,236.0
1252,The Park Residences ,123 Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,30937.0,18.0,3,3,399.5
1253,JP North Celeste ,Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,480.0,13958.0,10.0,1,2,67.0
1254,JP North ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,650.0,14615.0,19.0,2,2,95.0
1255,Unnamed Property,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,660.0,18939.0,2.0,2,2,125.0
1256,Fressia Ranibello ,000 Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,15714.0,9.0,2,2,165.0
1257,Neelsidhi Orbit ,Sector 11 Khanda Colony Navi Mumbai Mumbai,Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,374.0,17379.0,10.0,1,1,65.0
1258,Neelsidhi Regalia ,Sector 11 Khanda Colony Navi Mumbai Mumbai,Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,592.0,17736.0,10.0,2,2,105.0
1259,Rajesh Sea Star ,Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1140.0,8333.0,6.0,2,2,95.0
1260,Elegant Olympia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,7142.0,2.0,2,2,70.0
1261,Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,12913.0,6.0,1,2,82.0
1262,Neelkanth Heights ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1585.0,13249.0,17.0,3,3,210.0
1263,Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,720.0,21527.0,20.0,2,2,155.0
1264,Unnamed Property,121 Vijay Nagari Thane Mumbai,Nagari Thane,1 to 5 Year,Ready To Move,Carpet Area,1000.0,12500.0,4.0,3,3,125.0
1265,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1650.0,12727.0,12.0,3,3,210.0
1266,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,10+ Year,Ready To Move,Carpet Area,450.0,16666.0,6.0,1,2,75.0
1267,VUB Paradise ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750.0,11466.0,3.0,2,2,86.0
1268,CIDCO Spaghetti Complex ,Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,650.0,10769.0,6.0,1,1,70.0
1269,Geomatrix Silver Crest ,101 Sector 25 Khandeshhwar Navi Mumbai Mumbai,Khandeshhwar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,8721.0,1.0,1,1,58.0
1270,Unnamed Property,112 Dombivli West Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,355.0,6197.0,3.0,1,1,22.0
1271,Kumar Vastu Pinnacle ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,700.0,27285.0,12.0,2,2,191.0
1272,Puraniks Capitol ,123 Kasar vadavali Thane Mumbai,Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,994.0,8752.0,15.0,2,2,87.0
1273,Yash Plaza ,Sector 9 Kamothe Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,575.0,8000.0,5.0,1,1,46.0
1274,Unnamed Property,Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,8095.0,2.0,2,2,85.0
1275,Tirupati Icon ,Sector 20 Kamothe Sector 20 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000.0,6500.0,1.0,2,1,65.0
1276,Resicom Sai Miracle ,Sector 22 Kamothe Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,640.0,8593.0,4.0,1,1,55.0
1277,Rosa Gardenia ,121 Kasar vadavali Thane Mumbai,Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,950.0,7894.0,9.0,2,2,75.0
1278,Unnamed Property,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,650.0,5384.0,6.0,1,1,35.0
1279,Unnamed Property,Woodpark Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,5 to 10 Year,Ready To Move,Carpet Area,1011.0,28684.0,6.0,3,3,290.0
1280,SM Vision ,Sector 9 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1260.0,9841.0,3.0,2,2,124.0
1281,Bhagwati Imperia ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1700.0,11882.0,11.0,3,3,202.0
1282,Trishul Symphony ,Kharghar Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1850.0,10540.0,16.0,3,3,195.0
1283,Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,10540.0,6.0,3,3,195.0
1284,Om Rudra ,Kharghar Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1635.0,12844.0,18.0,3,3,210.0
1285,Kasturi Heights ,Kharghar Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,11081.0,10.0,3,3,205.0
1286,Saurabh Avenue ,701 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,780.0,11538.0,7.0,2,2,90.0
1287,Sai Prasad Residency ,404 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,665.0,9774.0,4.0,1,1,65.0
1288,Sunrise Glory ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,680.0,5735.0,7.0,1,2,39.0
1289,Today Imperia ,Ulwe Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,8016.0,5.0,2,2,97.0
1290,National Marvel ,Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1555.0,8231.0,8.0,3,3,128.0
1291,Runwal Forests ,Runwal Forest T2 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,620.0,26326.0,23.0,2,2,124.0
1292,Runwal Forests ,Runwal Forest Chs Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,945.0,17460.0,15.0,2,2,165.0
1293,Runwal Forests ,Tower 7 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,24643.0,18.0,2,2,190.0
1294,Unnamed Property,Worli South Mumbai Mumbai,Worli Mumbai,1 to 5 Year,Ready To Move,Carpet Area,585.0,41025.0,5.0,2,2,240.0
1295,AR Elanza ,Prabhadevi South Mumbai Mumbai,Prabhadevi Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1604.0,43437.375,22.0,4,4,399.5
1296,AR Elanza ,Prabhadevi South Mumbai Mumbai,Prabhadevi Mumbai,5 to 10 Year,Ready To Move,Carpet Area,805.0,43437.375,8.0,2,2,399.5
1297,Hiranandani Avalon ,Hhiranandani Garden Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050.0,30476.0,25.5,2,2,320.0
1298,RNA NG Vikas ,Beverly Park Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,595.0,9243.0,5.0,1,1,55.0
1299,Goodwill Heritage ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1286.0,8942.0,6.0,2,2,115.0
1300,Evershine Millennium Paradise ,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Carpet Area,1100.0,24090.0,4.0,3,3,265.0
1301,Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1157.0,14693.0,13.0,2,2,170.0
1302,Unnamed Property,Sector 50 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,700.0,12857.0,3.0,2,2,90.0
1303,Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,33.57,43437.375,1.0,1,1,39.0
1304,Sonal Dev Con Gopal Krishna ,901 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1800.0,16666.0,9.0,3,3,300.0
1305,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201.0,43437.375,18.0,3,3,399.5
1306,Lodha Dioro ,Wadala East Wadala Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1330.0,34736.0,16.0,3,4,399.5
1307,Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1600.0,37437.0,25.5,3,4,399.5
1308,Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1943.875,38095.0,3.0,4,4,399.5
1309,Kulswamini Srushti Residency ,106 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Super Built Up Area,985.0,7614.0,1.0,2,2,75.0
1310,Aboli Estate ,106 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,450.0,9388.0,1.0,1,1,42.2
1311,Aboli Estate ,105 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,669.0,9288.0,1.0,2,2,62.1
1312,Mangeshi Dazzle ,1102 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,960.0,8500.0,11.0,2,2,81.6
1313,Kosmos Nandanvan ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,695.0,33812.0,14.0,2,2,235.0
1314,K Guru Residency ,Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,825.0,22424.0,2.0,2,2,185.0
1315,Haware Splendor ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,850.0,12941.0,7.0,2,2,110.0
1316,Jalvayu Vihar ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,11428.0,6.0,2,2,120.0
1317,Shah Royale ,601 Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120.0,12500.0,4.0,2,2,140.0
1318,R S Grandeur ,902 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,10330.0,11.0,2,2,125.0
1319,Sai Yashaskaram ,902 Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,11304.0,18.0,2,2,130.0
1320,Kasturi Heights ,802 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1630.0,12269.0,10.0,3,3,200.0
1321,Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700.0,13571.0,7.0,1,2,95.0
1322,Poonam Valley ,901 Miragaon Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1030.0,8543.0,7.0,2,2,88.0
1323,Unnamed Property,Borivali East Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,900.0,28888.0,6.0,3,3,260.0
1324,Pyramid Elements ,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,12000.0,25.5,2,2,126.0
1325,Gundecha Asta ,Mehra Compound Sakinaka Mumbai,Compound Sakinaka,1 to 5 Year,Ready To Move,Carpet Area,886.0,24830.0,6.0,3,2,220.0
1326,Oak Residency ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1030.0,10679.0,5.0,2,2,110.0
1327,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1245.0,10240.0,10.0,2,2,127.0
1328,Raas Leela Vrindavan ,Ramdev Park Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,650.0,11384.0,2.0,2,2,74.0
1329,Haware Citi ,200 Thane West Thane Mumbai,Thane Thane,5 to 10 Year,Ready To Move,Carpet Area,718.0,10167.0,2.0,3,3,73.0
1330,Unnamed Property,103 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,8923.0,1.0,1,2,58.0
1331,Unique Shanti The Address ,304 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1060.0,8962.0,2.0,2,2,95.0
1332,Unique Shanti The Address ,201 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,450.0,15333.0,2.0,1,2,69.0
1333,Giriraj Sarvoday Greens ,Bhiwandi Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4714.0,10.0,2,2,49.5
1334,Anjani Sparsh ,204 Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,695.0,8920.0,2.0,1,2,62.0
1335,Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476.0,2.0,2,2,110.0
1336,Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1810.0,15469.0,25.5,3,3,280.0
1337,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1427.0,14015.0,20.0,2,2,200.0
1338,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1299.0,13856.0,10.0,2,2,180.0
1339,Unnamed Property,1004 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,900.0,8333.0,10.0,2,2,75.0
1340,Unnamed Property,Bhaskar Colony Naupada Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,17076.0,5.0,1,1,111.0
1341,Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1151.0,14335.0,4.0,2,2,165.0
1342,Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,15777.0,25.5,2,3,213.0
1343,Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1920.0,12239.0,1.0,3,4,235.0
1344,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1550.0,16451.0,22.0,2,2,255.0
1345,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1150.0,16956.0,22.0,2,2,195.0
1346,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,16880.0,22.0,2,2,211.0
1347,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,18187.0,25.5,3,3,291.0
1348,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,17937.0,25.5,3,3,287.0
1349,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,17166.0,25.5,2,2,206.0
1350,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,686.0,8017.0,1.0,1,2,55.0
1351,Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1185.0,7932.0,9.0,2,2,94.0
1352,Unnamed Property,0000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Carpet Area,412.0,6075.0,2.0,1,2,25.0
1353,Unnamed Property,000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Built Up Area,614.0,4500.0,2.0,1,1,27.6
1354,Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Carpet Area,690.0,23043.0,6.0,2,2,159.0
1355,Kanakia Sevens ,5 Min Marol Metro Stn Near International Airpot Andheri Kurla Road Marol Andheri East Marol Mumbai,Andheri Marol,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,21621.0,4.0,2,2,184.0
1356,Rosa Oasis ,0000 Ghodbunder Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Carpet Area,58.91,43437.375,19.0,2,2,113.0
1357,Runwal Eirene ,2002 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,424.0,18396.0,10.0,1,2,78.0
1358,Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Super Built Up Area,1137.0,20668.0,7.0,2,2,235.0
1359,Unnamed Property,Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,870.0,8620.0,2.0,2,2,75.0
1360,Adelphi Apartment ,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28000.0,6.0,2,2,210.0
1361,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,10000.0,14.0,1,2,39.0
1362,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,10256.0,3.0,1,1,40.0
1363,Unnamed Property,Sector 44 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1943.875,10500.0,1.0,3,2,210.0
1364,Sky Pan Apartment ,Shastri Nagar Mumbai,Shastri Nagar,5 to 10 Year,Ready To Move,Carpet Area,1200.0,35416.0,2.0,3,3,399.5
1365,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,420.0,18571.0,4.0,1,1,78.0
1366,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,390.0,17948.0,3.0,1,1,70.0
1367,Unnamed Property,501 Waghbil Thane Mumbai,Waghbil Thane,10+ Year,Ready To Move,Carpet Area,700.0,10857.0,3.0,2,2,76.0
1368,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,350.0,15714.0,2.0,1,1,55.0
1369,Group Seven Rushi Heights ,Near By Valentine Complex Malad East Mumbai,Complex Malad,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,16190.0,23.0,2,2,170.0
1370,Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,1 to 5 Year,Ready To Move,Super Built Up Area,715.0,15384.0,5.0,2,2,110.0
1371,Godrej Platinum ,Pirojshanagar Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1700.0,43437.375,25.5,4,5,399.5
1372,Nine Realcon Glorious Lifestyle ,108 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,850.0,4647.0,1.0,2,2,39.5
1373,Unnamed Property,101 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4952.0,1.0,2,2,52.0
1374,Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11847.0,16.0,2,2,84.0
1375,Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11988.0,16.0,2,2,85.0
1376,Marathon Nexzone ,1001 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925.0,7567.0,10.0,2,2,70.0
1377,Siddhi Belleza ,701 Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1167.0,8140.0,9.0,2,2,95.0
1378,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890.0,11123.0,14.0,2,2,99.0
1379,Unnamed Property,201 Panch Pakhadi Thane Mumbai,Pakhadi Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1100.0,15000.0,2.0,2,2,165.0
1380,Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1455.0,9621.0,7.0,2,2,140.0
1381,Unnamed Property,Panchpakhadi Thane Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500.0,16666.0,1.0,3,3,250.0
1382,Paradise Sai World City ,Palspa Pata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1911.0,14652.0,25.5,4,4,280.0
