Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,500.0,14400,5,1,1,72.0
Vijay Park ,Kasar vadavali Thane Mumbai,Vadavali Thane,10+ Year,Ready To Move,Super Built Up Area,600.0,8083,3,1,1,48.5
Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Malad,0 to 1 Year,Ready To Move,Super Built Up Area,1750.0,25645,39,3,3,318.0
Haware Tiara ,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1550.0,10967,11,3,3,170.0
Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200.0,7666,4,2,2,92.0
Sai Ashirwad ,Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,360.0,10138,0,1,1,36.5
Advance Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130.0,8849,13,2,2,100.0
Unnamed Property,Ghotkamp Koyana Vele Navi Mumbai Mumbai,Vele Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,600.0,7500,2,2,2,45.0
Siddhivinayak Garima ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400.0,8000,2,1,2,32.0
Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,10+ Year,Ready To Move,Super Built Up Area,5700.0,42105,1,4,4,2400.0
Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,30000,5,3,3,450.0
Gajora Kalpavruksha Valley ,Sector 23 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,49454.0,84,1,1,2,42.0
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,420.0,8571,10,1,1,36.0
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,421.0,8313,11,1,1,35.0
Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Panchanand Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1115.0,7174,3,2,2,80.0
Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Panchanand Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1020.0,7352,3,2,2,75.0
Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Panchanand Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,6521,2,2,2,75.0
Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,1 to 5 Year,Ready To Move,Carpet Area,536.0,27238,1,2,2,146.0
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,565.0,28672,13,2,2,162.0
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,450.0,23333,2,1,1,105.0
Unnamed Property,Vazira Mumbai,Vazira Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400.0,27500,6,1,1,110.0
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,734.0,26566,19,2,3,195.0
Omkar Vive ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409.0,25672,2,1,1,105.0
Ventures Residency ,123 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1230.0,7317,11,2,2,90.0
Bhoomi Park ,302 Jankalyan Nagar Mumbai,Jankalyan Nagar,10+ Year,Ready To Move,Super Built Up Area,625.0,14080,3,1,2,88.0
Silicon Park ,1401 Jankalyan Nagar Mumbai,Jankalyan Nagar,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,12857,14,1,2,90.0
Gurukrupa Marina Enclave ,1301 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,452.0,23230,13,1,2,105.0
Gurukrupa Marina Enclave ,1202 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,638.0,22257,12,2,2,142.0
Gurukrupa Marina Enclave ,1201 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635.0,22204,12,2,2,141.0
Gurukrupa Marina Enclave ,1203 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635.0,24409,12,2,2,155.0
Gurukrupa Marina Enclave ,1204 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,838.0,24105,12,3,3,202.0
Bhoomi Park ,901 Jankalyan Nagar Mumbai,Jankalyan Nagar,10+ Year,Ready To Move,Super Built Up Area,1200.0,15416,9,3,3,185.0
Tricity Symphony ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080.0,8333,5,2,2,90.0
Royal Oasis ,1302 Jankalyan Nagar Mumbai,Jankalyan Nagar,5 to 10 Year,Ready To Move,Carpet Area,669.0,21001,13,2,2,141.0
Royal Oasis ,902 Jankalyan Nagar Mumbai,Jankalyan Nagar,5 to 10 Year,Ready To Move,Carpet Area,600.0,22500,9,2,2,135.0
Royal Oasis ,805 Jankalyan Nagar Mumbai,Jankalyan Nagar,5 to 10 Year,Ready To Move,Carpet Area,600.0,23333,8,2,2,140.0
Ahuja Sea Shell Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,675.0,18962,2,2,2,128.0
Sunteck City Avenue 1 ,1903 Goregaon West Mumbai,Goregaon Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,19916,19,2,2,239.0
Yashwant Arcade CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,650.0,14769,2,2,2,96.0
Triveni Laurel ,1652 Gauripada Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1156.0,9083,15,2,2,105.0
Unnamed Property,6542 Khadakpada Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Built Up Area,1545.0,7896,9,3,3,122.0
Kings Court by TCJ Realty ,1235 Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1170.0,7008,3,2,2,82.0
Tharwani Riverdale ,2356 Khadakpada Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1130.0,6637,2,2,2,75.0
Mohan Highlands ,Katrap Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,1330.0,4511,3,3,3,60.0
Unnamed Property,secter 7 koparkhairne Navi Mumbai Mumbai,Koparkhairne Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476,0,2,2,110.0
Deep Manohar Shreeji Nirvana ,Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,800.0,4625,1,2,2,37.0
Satyam Paradise ,Katrap Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Built Up Area,875.0,4228,6,2,2,37.0
Unnamed Property,1234 Tilak chowk Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Built Up Area,925.0,10270,6,2,2,95.0
Unnamed Property,4532 Adharwadi Mumbai Beyond Thane Mumbai,Mumbai Thane,10+ Year,Ready To Move,Built Up Area,3000.0,5733,14,4,4,172.0
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Parle Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1253.0,32162,10,3,3,403.0
Maghnani Euphoria ,Near New Daily Mart Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,703.0,7611,1,1,2,53.5
Unnamed Property,Near Ramseth Thakur Sports Complex Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,7000,2,2,2,70.0
Lodha Aurum Grande ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,795.0,26415,33,2,2,210.0
Arkade Earth ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1122.0,17647,19,2,2,198.0
Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550.0,46774,15,4,4,725.0
Unnamed Property,Bandra East Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,380.0,27631,3,1,1,105.0
Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,850.0,14117,7,2,3,120.0
Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,625.0,9600,1,1,2,60.0
Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,580.0,14655,4,2,2,85.0
Evershine Avenue ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,4285,1,2,2,42.0
Agarwal Solitaire ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,625.0,5365,6,1,2,33.0
Vishwa Hans ,602 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,822.0,14233,8,2,2,117.0
Vijay Vilas ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,935.0,9411,7,2,2,88.0
Unnamed Property,501 Bhandup Village Road Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,540.0,15740,5,1,2,85.0
Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,435.0,18390,6,1,1,80.0
Orovia Phase 1 ,Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,0 to 1 Year,Ready To Move,Carpet Area,880.0,15340,15,3,3,135.0
Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2000.0,8700,12,3,3,174.0
Rachna Mangala Residency ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1250.0,6400,16,2,2,80.0
Unnamed Property,Dombivli West Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,960.0,8645,5,2,2,83.0
Agarwal Lifestyle ,603 Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,710.0,4987,6,1,2,35.4
Bhairaav Gold Crest Residency ,102 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,693.0,12987,10,1,1,90.0
Mahavir Kanti Pride ,Vasai East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,370.0,10810,2,1,1,40.0
Unnamed Property,Pokhran 2 Thane Mumbai,Pokhran Thane,10+ Year,Ready To Move,Carpet Area,400.0,18000,4,1,1,72.0
Goodwill Gardens ,Sector 8 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,950.0,11052,1,2,2,105.0
Siddharth Geetanjali Sujay ,002 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400.0,14125,6,6,6,339.0
Siddharth Geetanjali Sujay ,001 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615.0,15130,9,3,3,174.0
B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1630.0,10490,9,3,3,171.0
B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3200.0,10281,28,6,6,329.0
DSS Mahavir Classik ,Mahavir Classik Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,850.0,15883,8,1,2,135.0
DSS Mahavir Classik ,Flat No 701 And 702 C Wing Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,18334,7,4,4,295.0
Swaraj Symphony ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,640.0,8125,1,1,1,52.0
Prachi Residency ,304 Badlapur Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Carpet Area,480.0,6875,3,2,2,33.0
Wadhawa The Nest ,111 DN Nagar Mumbai,Dn Nagar,0 to 1 Year,Ready To Move,Carpet Area,1330.0,39849,2,3,4,530.0
Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,887.0,33483,18,2,2,297.0
Raj Shreeji Iconic ,Near Panvel Highway Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Built Up Area,575.0,4608,3,1,1,26.5
Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,957.0,29153,21,2,2,279.0
Panvelkar Estate ,003 Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575.0,3086,0,1,1,17.8
Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,956.0,30020,31,2,2,287.0
Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395.0,19713,26,2,2,275.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400.0,8857,9,3,3,124.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891.0,7126,7,2,2,63.5
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891.0,6930,3,2,2,61.8
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891.0,6228,10,2,2,55.5
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1678.0,7508,32,4,4,126.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891.0,7239,14,2,2,64.5
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690.0,5147,19,3,3,87.0
Unnamed Property,Chikuwadi Mumbai,Chikuwadi Mumbai,10+ Year,Ready To Move,Carpet Area,600.0,25833,7,2,2,155.0
Unnamed Property,001 Shirgaon Mumbai Beyond Thane Mumbai,Mumbai Thane,0 to 1 Year,Ready To Move,Super Built Up Area,600.0,3500,0,1,1,21.0
Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1570.0,12738,3,3,3,200.0
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,890.0,11797,14,2,2,105.0
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1000.0,10700,9,2,2,107.0
Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1570.0,12101,7,3,3,190.0
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,898.0,30623,2,3,2,275.0
Ajmera New Era ,Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711.0,7735,11,1,2,55.0
Raj Tulsi City ,Badlapur East Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,615.0,3577,4,1,1,22.0
SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1280.0,18750,29,2,2,240.0
SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,20000,29,2,2,210.0
Marathon Galaxy ,Moti Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,900.0,31666,3,3,3,285.0
Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1240.0,23387,31,3,3,290.0
Nirmal Lifestyle Residency CHS ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850.0,21764,14,2,2,185.0
Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1382.0,21345,37,3,3,295.0
L and T Crescent Bay ,Parel South Mumbai Mumbai,Parel Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1402.0,38018,20,2,2,330.0
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,11666,25,2,2,140.0
Unnamed Property,3333 Kolshet Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Super Built Up Area,850.0,8823,23,1,2,75.0
Siddhi Highland Gardens ,1111 Dhokali Thane Mumbai,Dhokali Thane,1 to 5 Year,Ready To Move,Built Up Area,710.0,10845,3,1,2,77.0
Unnamed Property,2222 Thane West Thane Mumbai,Thane Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,9729,20,4,3,180.0
Everest World Aspen ,222 Thane West Thane Mumbai,Thane Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10952,11,2,2,115.0
Sheth Avalon ,A 110 Laxmi Nagar Thane Mumbai,Nagar Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1299.0,13163,14,2,2,171.0
Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,920.0,26086,20,2,2,240.0
Ashar Sapphire And Galleria ,1111 Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,24210,26,3,3,230.0
Unnamed Property,1111 Kolshet Road Thane Mumbai,Road Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1450.0,12068,15,3,2,175.0
Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1220.0,11065,22,2,2,135.0
Veena Senterio ,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,440.0,26363,12,1,2,116.0
Neelkanth Greens ,2 5bhk Very Luxurious Property For Sell Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1300.0,14615,19,3,2,190.0
Unnamed Property,Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,777.0,43758,7,2,2,340.0
Unnamed Property,2bhk Very Spacious Flat Available For Sell Close Viviana Mall khopat Thane Mumbai,Khopat Thane,10+ Year,Ready To Move,Super Built Up Area,1040.0,12500,9,2,2,130.0
Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201.0,47044,18,3,3,565.0
Gala Pride Presidency Luxuria ,Kailash Nagar Thane Mumbai,Nagar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,760.0,11052,18,1,1,84.0
Runwal Eirene ,1bhk Very Spacious New Brand Property Available For Sell Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,11278,9,1,2,75.0
Oberoi Exquisite ,Oberoi Exquisite Oberoi International School nr Oberoi Mall Film City Rd goregaon East mum 400063 Goregaon East Mumbai,Mum Goregaon,5 to 10 Year,Ready To Move,Super Built Up Area,1690.0,30917,7,3,3,522.0
Oberoi Splendor ,Oberoi Splendor Nr Oberoi International School Jvlr Andheri East Mumbai 400060 Jogeshwari East Mumbai,Mumbai Jogeshwari,5 to 10 Year,Ready To Move,Super Built Up Area,1377.0,24183,26,3,2,333.0
Unnamed Property,Parel South Mumbai Mumbai,Parel Mumbai,1 to 5 Year,Ready To Move,Carpet Area,410.0,36585,9,1,2,150.0
Unnamed Property,Sector 23 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,680.0,8382,1,2,2,57.0
Bhagwati Bellavista 2 ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,690.0,7246,2,1,2,50.0
Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,1180.0,8898,12,3,3,105.0
Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,650.0,13076,7,2,2,85.0
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Built Up Area,1004.0,12051,17,2,2,121.0
Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,635.0,8661,4,1,2,55.0
Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000.0,8000,2,2,2,80.0
Lokhandwala Riviera Tower ,Lokhandwala Kandivali East Mumbai,Lokhandwala Kandivali,10+ Year,Ready To Move,Super Built Up Area,1000.0,16700,20,2,2,167.0
Acme Ozone ,Near Khewara Circle Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,11500,23,2,2,130.0
Unnamed Property,Shirley Rajan Road Bandra West Mumbai South West Mumbai,Bandra Mumbai,10+ Year,Ready To Move,Carpet Area,600.0,50000,1,1,2,300.0
Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,700.0,17857,9,2,2,125.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1427.0,13314,24,2,2,190.0
Hiranandani Silver Link ,Silverlink Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,5 to 10 Year,Ready To Move,Carpet Area,450.0,20444,2,1,2,92.0
JP North Celeste ,123 Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,9285,2,1,2,65.0
Nahar Lilium Lantana ,Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1250.0,18720,21,2,2,234.0
Paradigm EL Signora ,Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850.0,26117,7,2,2,222.0
Unnamed Property,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1978.0,55611,5,4,3,1100.0
Satyam Imperial Heights ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400.0,23125,39,4,4,555.0
White City ,Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460.0,26086,9,1,2,120.0
Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Carpet Area,11986.0,3170,22,3,3,380.0
Unnamed Property,Sector 36 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,565.0,12389,1,1,1,70.0
Bhakti Aura ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,670.0,8955,5,1,1,60.0
Satelite Royal ,Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,20476,15,2,2,215.0
JP Decks ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1290.0,15891,8,2,2,205.0
Om Sai Riddhi Siddhi Regency ,Sector 22 Kamothe Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000.0,8500,3,2,2,85.0
Unnamed Property,1402 Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Carpet Area,1490.0,20134,14,3,3,300.0
Godrej Emerald ,Ghodbunder Road Thane Mumbai,Road Thane,0 to 1 Year,Ready To Move,Carpet Area,760.0,15789,10,2,2,120.0
One Hiranandani Park ,Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani-Estate Thane,1 to 5 Year,Ready To Move,Carpet Area,559.0,27728,12,2,2,155.0
Godrej Emerald ,Ghodbunder Road Thane Mumbai,Road Thane,0 to 1 Year,Ready To Move,Carpet Area,560.0,14821,21,2,2,83.0
Puraniks Aarambh ,Kasar vadavali Thane Mumbai,Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,600.0,12166,11,2,2,73.0
Unnamed Property,Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Carpet Area,443.0,13544,15,1,2,60.0
Bhakti Park ,Sai Nagar Thane Mumbai,Nagar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,645.0,8527,2,1,1,55.0
Unnamed Property,2202 Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Carpet Area,1490.0,20805,22,3,3,310.0
Unnamed Property,Thane West Thane Mumbai,Thane Thane,0 to 1 Year,Ready To Move,Carpet Area,1340.0,18656,10,3,3,250.0
Aashapura Crown City ,403 Kalyan West Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Super Built Up Area,874.0,6864,4,2,2,60.0
